#t,ms massf-Ar+
4.54275 2.116804693432252932e-03
4.54503 2.119667617505799524e-03
4.54788 2.123185133184889856e-03
4.55015 2.125954337540943758e-03
4.55299 2.129374524507523635e-03
4.55527 2.132094695046290230e-03
4.55756 2.134792848745310952e-03
4.5604 2.138128143611035814e-03
4.56268 2.140758860514451346e-03
4.56552 2.143944861720283295e-03
4.5678 2.146391765847645381e-03
4.57007 2.148758634239347418e-03
4.57292 2.151686533630595751e-03
4.5752 2.154024929025008875e-03
4.57805 2.156950781206940643e-03
4.58033 2.159299914499857725e-03
4.58261 2.161653860678079946e-03
4.58547 2.164590805271599059e-03
4.58775 2.166912341483507275e-03
4.59002 2.169200906338763189e-03
4.59287 2.172033032614336875e-03
4.59514 2.174285711912238989e-03
4.59799 2.177093035504661014e-03
4.60027 2.179341127700430963e-03
4.60255 2.181610340091383934e-03
4.6054 2.184473529971247587e-03
4.60767 2.186781086221787143e-03
4.61052 2.189665762357743267e-03
4.61281 2.191953091355595355e-03
4.61509 2.194206185171151610e-03
4.61794 2.196954419364094760e-03
4.62022 2.199107925682457394e-03
4.62306 2.201757232204591859e-03
4.62534 2.203856463232694088e-03
4.62762 2.205944666493849307e-03
4.63047 2.208545035257246034e-03
4.63275 2.210622139836176253e-03
4.63503 2.212691107727275154e-03
4.63787 2.215266667608576084e-03
4.64015 2.217295517525124954e-03
4.64301 2.219742390168582581e-03
4.64529 2.221655293406400201e-03
4.64757 2.223580020715847615e-03
4.65042 2.226013805752320111e-03
4.6527 2.227980800488822861e-03
4.65555 2.230455676088058479e-03
4.65783 2.232451173282615133e-03
4.66012 2.234445589344175292e-03
4.66296 2.236932603298160630e-03
4.66524 2.238924046011847319e-03
4.66752 2.240928340948839578e-03
4.67037 2.243461858641433108e-03
4.67265 2.245524235566266191e-03
4.6755 2.248164661485368629e-03
4.67778 2.250328111180087062e-03
4.68006 2.252530117873146557e-03
4.68291 2.255294665511446434e-03
4.68519 2.257505418330880281e-03
4.68805 2.260255841421833761e-03
4.69034 2.262427794015219040e-03
4.69261 2.264566644872937577e-03
4.69545 2.267213250547381147e-03
4.69774 2.269322881320912783e-03
4.70002 2.271432623313059031e-03
4.70287 2.274073840749517034e-03
4.70515 2.276195523517526593e-03
4.708 2.278854577933440984e-03
4.71028 2.280983990158369674e-03
4.71256 2.283116105644924197e-03
4.71542 2.285797479590303671e-03
4.71771 2.287940526069419389e-03
4.72056 2.290602811439312967e-03
4.72284 2.292710240396125202e-03
4.72512 2.294796966094200721e-03
4.72797 2.297414961633951515e-03
4.73025 2.299538616330896318e-03
4.73253 2.301683576199004856e-03
4.73539 2.304375883461240362e-03
4.73767 2.306524992589085912e-03
4.74051 2.309220487249804155e-03
4.74279 2.311415410529980060e-03
4.74508 2.313653154221584872e-03
4.74794 2.316510306735328900e-03
4.75022 2.318841924635636591e-03
4.7525 2.321189479210200579e-03
4.75535 2.324122491140416611e-03
4.75763 2.326464767471770039e-03
4.76049 2.329382409483817147e-03
4.76278 2.331696516010575270e-03
4.76506 2.333984276327261739e-03
4.76791 2.336810112058908522e-03
4.77019 2.339061407317800934e-03
4.77304 2.341876770162375828e-03
4.77532 2.344127693081236169e-03
4.77761 2.346380581440107339e-03
4.78046 2.349196325609522861e-03
4.78274 2.351441800532037482e-03
4.78502 2.353682259558253966e-03
4.78787 2.356481061130640160e-03
4.79016 2.358720474022167786e-03
4.79302 2.361515293927097300e-03
4.7953 2.363748301645247994e-03
4.79758 2.365982108899738600e-03
4.80043 2.368772557564701332e-03
4.80272 2.370999247023761625e-03
4.80557 2.373773364618069707e-03
4.80786 2.375981626399702173e-03
4.81014 2.378181705648819370e-03
4.81299 2.380943756481023604e-03
4.81527 2.383182688999863855e-03
4.81755 2.385459429445450485e-03
4.8204 2.388347220514138065e-03
4.82269 2.390689320014262580e-03
4.82555 2.393642026841738546e-03
4.82784 2.396011069381345261e-03
4.83012 2.398381842113002371e-03
4.83297 2.401351039760513811e-03
4.83526 2.403729354936046114e-03
4.83754 2.406111032060504699e-03
4.84039 2.409093627850291894e-03
4.84267 2.411486893887138366e-03
4.84552 2.414487919604368666e-03
4.8478 2.416897809559323974e-03
4.85008 2.419319233044232419e-03
4.85294 2.422367479704381609e-03
4.85523 2.424818198565685621e-03
4.85751 2.427276240450703965e-03
4.86037 2.430365135629443743e-03
4.86265 2.432847757664449977e-03
4.8655 2.435967765894782745e-03
4.86778 2.438485686575716203e-03
4.87008 2.441025737864447806e-03
4.87294 2.444222291791234639e-03
4.87522 2.446790465995240128e-03
4.8775 2.449375205338445195e-03
4.88036 2.452627777293859244e-03
4.88264 2.455243986398502557e-03
4.8855 2.458537480817522304e-03
4.88779 2.461198527172899896e-03
4.89008 2.463890374526590994e-03
4.89292 2.467304161651334704e-03
4.8952 2.470088068910695350e-03
4.89806 2.473641178295487263e-03
4.90035 2.476529775837921134e-03
4.90264 2.479461534647458328e-03
4.9055 2.483181080077187606e-03
4.90779 2.486191685816816974e-03
4.91007 2.489230973652928943e-03
4.91293 2.493075310859513456e-03
4.91521 2.496187807186244900e-03
4.91807 2.500119352038075640e-03
4.92035 2.503291784164353179e-03
4.92263 2.506491289836754437e-03
4.92549 2.510526279742222779e-03
4.92777 2.513782303082388609e-03
4.93005 2.517066909062689369e-03
4.93291 2.521220875479933572e-03
4.93521 2.524570800899816371e-03
4.93806 2.528778692373457801e-03
4.94035 2.532171350635867724e-03
4.94263 2.535584338499470222e-03
4.94548 2.539881151715734937e-03
4.94777 2.543352453653480692e-03
4.95006 2.546854626004585280e-03
4.95293 2.551259164296530973e-03
4.95521 2.554794512270476027e-03
4.95807 2.559239310518567068e-03
4.96036 2.562814888826488603e-03
4.96264 2.566403427737269302e-03
4.9655 2.570911866327845775e-03
4.96779 2.574544785450928047e-03
4.97008 2.578206704288656895e-03
4.97293 2.582832298213852233e-03
4.97521 2.586578737084891354e-03
4.97806 2.591321899841441973e-03
4.98035 2.595156291357920801e-03
4.98265 2.599041612623563709e-03
4.98552 2.603948664913929498e-03
4.98781 2.607893094912139362e-03
4.9901 2.611849403238055214e-03
4.99295 2.616822706713727454e-03
4.99524 2.620819758007718586e-03
4.99752 2.624829399373973526e-03
5.00038 2.629862841516580983e-03
5.00267 2.633897603016033435e-03
5.00553 2.638933644477568525e-03
5.00781 2.642957427449975187e-03
5.01009 2.646983442639116654e-03
5.01295 2.652023955646941669e-03
5.01524 2.656052321977247273e-03
5.01753 2.660082886250600062e-03
5.0204 2.665111148120094271e-03
5.02269 2.669114010559384739e-03
5.02554 2.674103182016670990e-03
5.02783 2.678086269688834727e-03
5.03011 2.682060637253897654e-03
5.03297 2.687013870207180435e-03
5.03527 2.690969059228008869e-03
5.03756 2.694906827214170377e-03
5.04042 2.699786868887399556e-03
5.0427 2.703661869401545979e-03
5.04556 2.708475727799944128e-03
5.04785 2.712302550454656451e-03
5.05014 2.716111274433141796e-03
5.05301 2.720862467097664474e-03
5.0553 2.724661121998660056e-03
5.05758 2.728446545631538472e-03
5.06043 2.733172772586860231e-03
5.06272 2.736953508982309293e-03
5.06501 2.740727937527228254e-03
5.06787 2.745438502904153869e-03
5.07017 2.749200811308007576e-03
5.07304 2.753871508620605885e-03
5.07533 2.757565529253868612e-03
5.07761 2.761232427653402457e-03
5.08047 2.765774787834919621e-03
5.08276 2.769370078494129330e-03
5.08505 2.772931566994977191e-03
5.08791 2.777332581939893387e-03
5.0902 2.780804254754249381e-03
5.09306 2.785073118059507372e-03
5.09534 2.788441283200830418e-03
5.09763 2.791774743836187862e-03
5.10049 2.795881047990713894e-03
5.10278 2.799124729282021114e-03
5.10508 2.802326470824369458e-03
5.10795 2.806259179718796886e-03
5.11023 2.809344868672840334e-03
5.11252 2.812382955488153431e-03
5.11538 2.816119940898093119e-03
5.11766 2.819060267342595946e-03
5.12053 2.822682745425026361e-03
5.12283 2.825526228535713870e-03
5.12512 2.828308573477881366e-03
